,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
51,현대 그랜저HG 240  모던 컬렉션,9.0,157384.0,1.0,1.0,11.3,190.0,25.5,0.0,2.0,0.0,699.0
52,현대 더 뉴 그랜저 2.5 프리미엄 초이스,3.0,122201.0,1.0,1.0,11.9,198.0,25.3,0.0,1.0,0.0,2440.0
53,현대 디 올 뉴 그랜저  2.5 2WD 프리미엄,4.0,4780.0,1.0,1.0,11.7,198.0,25.3,0.0,0.0,0.0,4690.0
55,현대 그랜저IG 3.0 LPi  모던,4.0,170454.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,1319.0
56,현대 그랜저IG  3.0 LPi  모던,4.0,178412.0,0.0,1.0,7.6,235.0,28.6,0.0,2.0,0.0,1299.0
60,현대 그랜저HG 300 LPi 모던,6.0,105750.0,0.0,1.0,8.9,235.0,28.6,0.0,1.0,0.0,790.0
62,현대 그랜저HG 240  모던,9.0,108283.0,1.0,1.0,11.3,201.0,25.5,0.0,3.0,0.0,790.0
63,현대 그랜저IG  3.0 LPi  모던   ,5.0,33000.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,2090.0
64,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,2.0,37753.0,1.0,1.0,15.2,200.0,25.1,0.0,1.0,0.0,3960.0
66,현대 그랜저IG 2.4 프리미엄,6.0,61283.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,1900.0
67,현대 더 뉴 그랜저 2.5 프리미엄,2.0,65436.0,1.0,1.0,11.9,198.0,25.3,0.0,2.0,0.0,2299.0
70,현대 그랜저HG 240  럭셔리,11.0,115974.0,1.0,1.0,12.8,201.0,25.5,0.0,9.0,0.0,690.0
71,현대 그랜저IG 2.4  프리미엄,4.0,104373.0,1.0,1.0,11.2,190.0,24.6,0.0,3.0,0.0,1640.0
72,현대 그랜저HG 240  모던 컬렉션,6.0,114215.0,1.0,1.0,11.3,190.0,25.5,0.0,4.0,0.0,920.0
75,현대 그랜저IG 2.2 디젤 프리미엄 스페셜,6.0,157505.0,2.0,1.0,14.3,202.0,45.0,0.0,0.0,0.0,1540.0
76,현대 그랜저HG 240  럭셔리,12.0,157069.0,1.0,1.0,12.8,201.0,25.5,0.0,9.0,0.0,550.0
77,현대 그랜저HG 220 디젤 프리미엄,8.0,71556.0,2.0,1.0,13.8,202.0,45.0,0.0,6.0,0.0,1030.0
79,현대 그랜저IG 2.4 모던,3.0,52068.0,1.0,1.0,11.2,190.0,24.6,0.0,3.0,0.0,1399.0
81,현대 그랜저IG 3.0 LPi  모던,4.0,65200.0,0.0,1.0,7.6,235.0,28.6,0.0,2.0,0.0,1950.0
82,현대 그랜저HG 300 LPi 익스클루시브,10.0,130000.0,1.0,1.0,8.9,235.0,28.6,0.0,4.0,0.0,960.0
88,현대 그랜저IG 2.4  모던,6.0,137900.0,1.0,1.0,11.2,190.0,24.6,0.0,6.0,0.0,1449.0
90,현대 그랜저TG Q270 럭셔리,16.0,179680.0,1.0,1.0,9.4,195.0,25.6,0.0,4.0,0.0,230.0
91,현대 더 럭셔리 그랜저 Q270 LPi  개인형,13.0,179942.0,0.0,1.0,7.6,165.0,25.0,0.0,5.0,0.0,399.0
92,현대 그랜저TG Q270 럭셔리,16.0,135218.0,1.0,1.0,9.4,195.0,25.6,0.0,5.0,0.0,290.0
93,현대 더 뉴 그랜저 2.5  캘리그래피,2.0,46000.0,1.0,1.0,11.1,198.0,25.3,0.0,0.0,0.0,3450.0
94,현대 그랜저IG  2.4 프리미엄,4.0,73523.0,1.0,1.0,11.2,190.0,24.6,0.0,3.0,0.0,1910.0
